04_27_2017_03_08,   67 ,116,   1007 ,   11 ,   0 
04_27_2017_03_19,   66 ,116,   1007 ,   11 ,   0 
04_27_2017_03_29,   66 ,116,   1007 ,   11 ,   0 
04_27_2017_03_40,   64 ,116,   1007 ,   11 ,   0 
04_27_2017_03_50,   61 ,116,   1007 ,   11 ,   0 
04_28_2017_14_14,   41 ,117,   1004 ,   24 ,   0 
04_28_2017_14_25,   40 ,117,   1004 ,   24 ,   0 
04_28_2017_14_35,   40 ,117,   1004 ,   24 ,   0 
04_28_2017_14_46,   40 ,117,   1004 ,   25 ,   0
04_28_2017_14_56,   39 ,117,   1003 ,   25 ,   0
04_28_2017_23_22,   52 ,118,   1002 ,   19 ,   0 
04_28_2017_23_32,   52 ,118,   1002 ,   19 ,   0 
04_28_2017_23_43,   53 ,118,   1002 ,   19 ,   0 
04_28_2017_23_53,   55 ,118,   1002 ,   19 ,   0 
04_29_2017_00_04,   54 ,118,   1002 ,   19 ,   0 
04_29_2017_00_14,   53 ,118,   1002 ,   19 ,   0 
04_29_2017_00_25,   52 ,118,   1002 ,   18 ,   0 
04_29_2017_00_35,   52 ,118,   1002 ,   18 ,   0   
04_29_2017_00_46,   51 ,118,   1002 ,   18 ,   0    
04_29_2017_00_56,   51 ,118,   1002 ,   18 ,   0    
04_30_2018_11_30,   53 ,119,   1005 ,   22 ,   0 
04_30_2018_11_41,   57 ,119,   1005 ,   21 ,   0 
04_30_2018_11_51,   59 ,119,   1005 ,   21 ,   0 
04_30_2018_12_02,   57 ,119,   1005 ,   21 ,   0 
04_30_2018_12_12,   59 ,119,   1005 ,   20 ,   0 
04_30_2018_12_23,   58 ,119,   1005 ,   21 ,   0 
04_30_2018_12_33,   59 ,119,   1005 ,   21 ,   0 
04_30_2018_12_44,   59 ,119,   1005 ,   21 ,   0 
04_30_2018_12_54,   59 ,119,   1005 ,   21 ,   0 
04_30_2018_13_04,   58 ,119,   1005 ,   21 ,   0 
04_30_2018_13_15,   58 ,119,   1005 ,   21 ,   0 
04_30_2018_13_25,   57 ,119,   1004 ,   21 ,   0 
04_30_2018_13_36,   57 ,119,   1004 ,   21 ,   0 
04_30_2018_13_46,   59 ,119,   1004 ,   21 ,   0 
04_30_2018_13_57,   60 ,119,   1004 ,   21 ,   0 
04_30_2018_14_08,   57 ,119,   1004 ,   22 ,   0 
04_30_2018_14_18,   56 ,119,   1004 ,   22 ,   0  
04_30_2018_14_29,   56 ,119,   1004 ,   22 ,   0 
04_30_2018_14_39,   56 ,119,   1004 ,   22 ,   0  
04_30_2018_14_50,   55 ,119,   1004 ,   22 ,   0 
5_07_2018_18_33,   65 ,126,   999 ,   22 ,   0 ,  
05_07_2018_18_43,   62 ,126,   999 ,   22 ,   0 ,   
05_07_2018_18_54,   62 ,126,   999 ,   22 ,   0 ,   
05_07_2018_19_04,   62 ,126,   999 ,   22 ,   0 ,  
05_07_2018_19_15,   63 ,126,   999 ,   22 ,   0 ,  
05_07_2018_19_25,   63 ,126,   999 ,   22 ,   0 ,   
05_07_2018_19_36,   64 ,126,   999 ,   22 ,   0 ,  
05_07_2018_19_46,   61 ,126,   999 ,   22 ,   0 ,   
05_07_2018_19_57,   61 ,126,   999 ,   22 ,   0 ,  
05_07_2018_20_07,   61 ,126,   999 ,   21 ,   0 , 
